Sample in Buffer,Sample in Window,TRIGGER,u_fifo_ctrl/tFpgaRead[63:0],u_fifo_ctrl/tFpgaWrite[63:0],u_fifo_ctrl/tMaxPcLoop[63:0],u_fifo_ctrl/tPcLoop[63:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,259,1087,771078,94235
1,1,0,259,1087,771078,94235
2,2,0,259,1087,771078,94235
3,3,0,259,1087,771078,94235
4,4,0,259,1087,771078,94235
5,5,0,259,1087,771078,94235
6,6,0,259,1087,771078,94235
7,7,0,259,1087,771078,94235
8,8,0,259,1087,771078,94235
9,9,0,259,1087,771078,94235
10,10,0,259,1087,771078,94235
11,11,0,259,1087,771078,94235
12,12,0,259,1087,771078,94235
13,13,0,259,1087,771078,94235
14,14,0,259,1087,771078,94235
15,15,0,259,1087,771078,94235
16,16,0,259,1087,771078,94235
17,17,0,259,1087,771078,94235
18,18,0,259,1087,771078,94235
19,19,0,259,1087,771078,94235
20,20,0,259,1087,771078,94235
21,21,0,259,1087,771078,94235
22,22,0,259,1087,771078,94235
23,23,0,259,1087,771078,94235
24,24,0,259,1087,771078,94235
25,25,0,259,1087,771078,94235
26,26,0,259,1087,771078,94235
27,27,0,259,1087,771078,94235
28,28,0,259,1087,771078,94235
29,29,0,259,1087,771078,94235
30,30,0,259,1087,771078,94235
31,31,0,259,1087,771078,94235
32,32,0,259,1087,771078,94235
33,33,0,259,1087,771078,94235
34,34,0,259,1087,771078,94235
35,35,0,259,1087,771078,94235
36,36,0,259,1087,771078,94235
37,37,0,259,1087,771078,94235
38,38,0,259,1087,771078,94235
39,39,0,259,1087,771078,94235
40,40,0,259,1087,771078,94235
41,41,0,259,1087,771078,94235
42,42,0,259,1087,771078,94235
43,43,0,259,1087,771078,94235
44,44,0,259,1087,771078,94235
45,45,0,259,1087,771078,94235
46,46,0,259,1087,771078,94235
47,47,0,259,1087,771078,94235
48,48,0,259,1087,771078,94235
49,49,0,259,1087,771078,94235
50,50,0,259,1087,771078,94235
51,51,0,259,1087,771078,94235
52,52,0,259,1087,771078,94235
53,53,0,259,1087,771078,94235
54,54,0,259,1087,771078,94235
55,55,0,259,1087,771078,94235
56,56,0,259,1087,771078,94235
57,57,0,259,1087,771078,94235
58,58,0,259,1087,771078,94235
59,59,0,259,1087,771078,94235
60,60,0,259,1087,771078,94235
61,61,0,259,1087,771078,94235
62,62,0,259,1087,771078,94235
63,63,0,259,1087,771078,94235
64,64,0,259,1087,771078,94235
65,65,0,259,1087,771078,94235
66,66,0,259,1087,771078,94235
67,67,0,259,1087,771078,94235
68,68,0,259,1087,771078,94235
69,69,0,259,1087,771078,94235
70,70,0,259,1087,771078,94235
71,71,0,259,1087,771078,94235
72,72,0,259,1087,771078,94235
73,73,0,259,1087,771078,94235
74,74,0,259,1087,771078,94235
75,75,0,259,1087,771078,94235
76,76,0,259,1087,771078,94235
77,77,0,259,1087,771078,94235
78,78,0,259,1087,771078,94235
79,79,0,259,1087,771078,94235
80,80,0,259,1087,771078,94235
81,81,0,259,1087,771078,94235
82,82,0,259,1087,771078,94235
83,83,0,259,1087,771078,94235
84,84,0,259,1087,771078,94235
85,85,0,259,1087,771078,94235
86,86,0,259,1087,771078,94235
87,87,0,259,1087,771078,94235
88,88,0,259,1087,771078,94235
89,89,0,259,1087,771078,94235
90,90,0,259,1087,771078,94235
91,91,0,259,1087,771078,94235
92,92,0,259,1087,771078,94235
93,93,0,259,1087,771078,94235
94,94,0,259,1087,771078,94235
95,95,0,259,1087,771078,94235
96,96,0,259,1087,771078,94235
97,97,0,259,1087,771078,94235
98,98,0,259,1087,771078,94235
99,99,0,259,1087,771078,94235
100,100,0,259,1087,771078,94235
101,101,0,259,1087,771078,94235
102,102,0,259,1087,771078,94235
103,103,0,259,1087,771078,94235
104,104,0,259,1087,771078,94235
105,105,0,259,1087,771078,94235
106,106,0,259,1087,771078,94235
107,107,0,259,1087,771078,94235
108,108,0,259,1087,771078,94235
109,109,0,259,1087,771078,94235
110,110,0,259,1087,771078,94235
111,111,0,259,1087,771078,94235
112,112,0,259,1087,771078,94235
113,113,0,259,1087,771078,94235
114,114,0,259,1087,771078,94235
115,115,0,259,1087,771078,94235
116,116,0,259,1087,771078,94235
117,117,0,259,1087,771078,94235
118,118,0,259,1087,771078,94235
119,119,0,259,1087,771078,94235
120,120,0,259,1087,771078,94235
121,121,0,259,1087,771078,94235
122,122,0,259,1087,771078,94235
123,123,0,259,1087,771078,94235
124,124,0,259,1087,771078,94235
125,125,0,259,1087,771078,94235
126,126,0,259,1087,771078,94235
127,127,0,259,1087,771078,94235
128,128,0,259,1087,771078,94235
129,129,0,259,1087,771078,94235
130,130,0,259,1087,771078,94235
131,131,0,259,1087,771078,94235
132,132,0,259,1087,771078,94235
133,133,0,259,1087,771078,94235
134,134,0,259,1087,771078,94235
135,135,0,259,1087,771078,94235
136,136,0,259,1087,771078,94235
137,137,0,259,1087,771078,94235
138,138,0,259,1087,771078,94235
139,139,0,259,1087,771078,94235
140,140,0,259,1087,771078,94235
141,141,0,259,1087,771078,94235
142,142,0,259,1087,771078,94235
143,143,0,259,1087,771078,94235
144,144,0,259,1087,771078,94235
145,145,0,259,1087,771078,94235
146,146,0,259,1087,771078,94235
147,147,0,259,1087,771078,94235
148,148,0,259,1087,771078,94235
149,149,0,259,1087,771078,94235
150,150,0,259,1087,771078,94235
151,151,0,259,1087,771078,94235
152,152,0,259,1087,771078,94235
153,153,0,259,1087,771078,94235
154,154,0,259,1087,771078,94235
155,155,0,259,1087,771078,94235
156,156,0,259,1087,771078,94235
157,157,0,259,1087,771078,94235
158,158,0,259,1087,771078,94235
159,159,0,259,1087,771078,94235
160,160,0,259,1087,771078,94235
161,161,0,259,1087,771078,94235
162,162,0,259,1087,771078,94235
163,163,0,259,1087,771078,94235
164,164,0,259,1087,771078,94235
165,165,0,259,1087,771078,94235
166,166,0,259,1087,771078,94235
167,167,0,259,1087,771078,94235
168,168,0,259,1087,771078,94235
169,169,0,259,1087,771078,94235
170,170,0,259,1087,771078,94235
171,171,0,259,1087,771078,94235
172,172,0,259,1087,771078,94235
173,173,0,259,1087,771078,94235
174,174,0,259,1087,771078,94235
175,175,0,259,1087,771078,94235
176,176,0,259,1087,771078,94235
177,177,0,259,1087,771078,94235
178,178,0,259,1087,771078,94235
179,179,0,259,1087,771078,94235
180,180,0,259,1087,771078,94235
181,181,0,259,1087,771078,94235
182,182,0,259,1087,771078,94235
183,183,0,259,1087,771078,94235
184,184,0,259,1087,771078,94235
185,185,0,259,1087,771078,94235
186,186,0,259,1087,771078,94235
187,187,0,259,1087,771078,94235
188,188,0,259,1087,771078,94235
189,189,0,259,1087,771078,94235
190,190,0,259,1087,771078,94235
191,191,0,259,1087,771078,94235
192,192,0,259,1087,771078,94235
193,193,0,259,1087,771078,94235
194,194,0,259,1087,771078,94235
195,195,0,259,1087,771078,94235
196,196,0,259,1087,771078,94235
197,197,0,259,1087,771078,94235
198,198,0,259,1087,771078,94235
199,199,0,259,1087,771078,94235
200,200,0,259,1087,771078,94235
201,201,0,259,1087,771078,94235
202,202,0,259,1087,771078,94235
203,203,0,259,1087,771078,94235
204,204,0,259,1087,771078,94235
205,205,0,259,1087,771078,94235
206,206,0,259,1087,771078,94235
207,207,0,259,1087,771078,94235
208,208,0,259,1087,771078,94235
209,209,0,259,1087,771078,94235
210,210,0,259,1087,771078,94235
211,211,0,259,1087,771078,94235
212,212,0,259,1087,771078,94235
213,213,0,259,1087,771078,94235
214,214,0,259,1087,771078,94235
215,215,0,259,1087,771078,94235
216,216,0,259,1087,771078,94235
217,217,0,259,1087,771078,94235
218,218,0,259,1087,771078,94235
219,219,0,259,1087,771078,94235
220,220,0,259,1087,771078,94235
221,221,0,259,1087,771078,94235
222,222,0,259,1087,771078,94235
223,223,0,259,1087,771078,94235
224,224,0,259,1087,771078,94235
225,225,0,259,1087,771078,94235
226,226,0,259,1087,771078,94235
227,227,0,259,1087,771078,94235
228,228,0,259,1087,771078,94235
229,229,0,259,1087,771078,94235
230,230,0,259,1087,771078,94235
231,231,0,259,1087,771078,94235
232,232,0,259,1087,771078,94235
233,233,0,259,1087,771078,94235
234,234,0,259,1087,771078,94235
235,235,0,259,1087,771078,94235
236,236,0,259,1087,771078,94235
237,237,0,259,1087,771078,94235
238,238,0,259,1087,771078,94235
239,239,0,259,1087,771078,94235
240,240,0,259,1087,771078,94235
241,241,0,259,1087,771078,94235
242,242,0,259,1087,771078,94235
243,243,0,259,1087,771078,94235
244,244,0,259,1087,771078,94235
245,245,0,259,1087,771078,94235
246,246,0,259,1087,771078,94235
247,247,0,259,1087,771078,94235
248,248,0,259,1087,771078,94235
249,249,0,259,1087,771078,94235
250,250,0,259,1087,771078,94235
251,251,0,259,1087,771078,94235
252,252,0,259,1087,771078,94235
253,253,0,259,1087,771078,94235
254,254,0,259,1087,771078,94235
255,255,0,259,1087,771078,94235
256,256,0,259,1087,771078,94235
257,257,0,259,1087,771078,94235
258,258,0,259,1087,771078,94235
259,259,0,259,1087,771078,94235
260,260,0,259,1087,771078,94235
261,261,0,259,1087,771078,94235
262,262,0,259,1087,771078,94235
263,263,0,259,1087,771078,94235
264,264,0,259,1087,771078,94235
265,265,0,259,1087,771078,94235
266,266,0,259,1087,771078,94235
267,267,0,259,1087,771078,94235
268,268,0,259,1087,771078,94235
269,269,0,259,1087,771078,94235
270,270,0,259,1087,771078,94235
271,271,0,259,1087,771078,94235
272,272,0,259,1087,771078,94235
273,273,0,259,1087,771078,94235
274,274,0,259,1087,771078,94235
275,275,0,259,1087,771078,94235
276,276,0,259,1087,771078,94235
277,277,0,259,1087,771078,94235
278,278,0,259,1087,771078,94235
279,279,0,259,1087,771078,94235
280,280,0,259,1087,771078,94235
281,281,0,259,1087,771078,94235
282,282,0,259,1087,771078,94235
283,283,0,259,1087,771078,94235
284,284,0,259,1087,771078,94235
285,285,0,259,1087,771078,94235
286,286,0,259,1087,771078,94235
287,287,0,259,1087,771078,94235
288,288,0,259,1087,771078,94235
289,289,0,259,1087,771078,94235
290,290,0,259,1087,771078,94235
291,291,0,259,1087,771078,94235
292,292,0,259,1087,771078,94235
293,293,0,259,1087,771078,94235
294,294,0,259,1087,771078,94235
295,295,0,259,1087,771078,94235
